title,division,state,roster_link
The Ohio State University,D1,OH,https://ohiostatebuckeyes.com/sports/m-basebl/roster/season/2021-22
The University of Southern Mississippi,D1,MS,https://southernmiss.com/sports/baseball/roster/2022
The University of Texas Rio Grande Valley,D1,TX,https://goutrgv.com/sports/baseball/roster/2022
Towson University,D1,MD,https://towsontigers.com/sports/baseball/roster/2022
Troy University,D1,AL,https://troytrojans.com/sports/baseball/roster/2022
Tulane University,D1,LA,https://tulanegreenwave.com/sports/baseball/roster/2022
U.S. Air Force Academy,D1,CO,https://goairforcefalcons.com/sports/baseball/roster/2022
U.S. Military Academy,D1,NY,https://goarmywestpoint.com/sports/baseball/roster/2022
U.S. Naval Academy,D1,MD,https://navysports.com/sports/baseball/roster/2022
University at Albany,D1,NY,http://www.ualbanysports.com/sports/baseball/roster/2022
University of Akron,D1,OH,https://gozips.com/sports/baseball/roster/2022
University of Alabama,D1,AL,http://rolltide.com/sports/baseball/roster/2022
"University of Alabama, Birmingham",D1,AL,http://uabsports.com/sports/baseball/roster/2022
University of Arizona,D1,AZ,http://www.arizonawildcats.com/sports/baseball/roster/2022
University of Arkansas,D1,AR,https://arkansasrazorbacks.com/sport/m-basebl/roster/?season=2021-22
"University of Arkansas, Little Rock",D1,AR,http://lrtrojans.com/sports/baseball/roster/2022
"University of Arkansas, Pine Bluff",D1,AR,http://www.uapblionsroar.com/sports/baseball/roster/2022
"University of California, Berkeley",D1,CA,http://calbears.com/sports/baseball/roster/2022
"University of California, Davis",D1,CA,https://ucdavisaggies.com/sports/baseball/roster/2022
"University of California, Irvine",D1,CA,https://ucirvinesports.com/sports/baseball/roster/2022
"University of California, Los Angeles",D1,CA,http://uclabruins.com/sports/baseball/roster/2022
"University of California, Riverside",D1,CA,https://gohighlanders.com/sports/baseball/roster/2022
"University of California, San Diego",D1,CA,https://ucsdtritons.com/sports/baseball/roster/2022
"University of California, Santa Barbara",D1,CA,https://www.ucsbgauchos.com/sports/m-basebl/2021-22/roster
University of Central Arkansas,D1,AR,http://www.ucasports.com/sports/baseball/roster/2022
University of Central Florida,D1,FL,http://ucfknights.com/sports/baseball/roster/2022
University of Cincinnati,D1,OH,http://gobearcats.com/sports/baseball/roster/2022
University of Connecticut,D1,CT,https://uconnhuskies.com/sports/baseball/roster/2022
University of Dayton,D1,OH,https://daytonflyers.com/sports/baseball/roster/2022
University of Delaware,D1,DE,https://bluehens.com/sports/baseball/roster/2022
University of Evansville,D1,IN,https://gopurpleaces.com/sports/baseball/roster/2022
University of Florida,D1,FL,https://floridagators.com/sports/baseball/roster/2022
University of Georgia,D1,GA,https://georgiadogs.com/sports/baseball/roster/2022
University of Hartford,D1,CT,https://www.hartfordhawks.com/roster.aspx?roster=348&path=baseball
"University of Hawai'i, Manoa",D1,HI,https://hawaiiathletics.com/sports/baseball/roster/2022
University of Houston,D1,TX,https://uhcougars.com/sports/baseball/roster/2022
University of Illinois at Chicago,D1,IL,https://uicflames.com/sports/baseball/roster/2022
"University of Illinois, Urbana-Champaign",D1,IL,https://fightingillini.com/sports/baseball/roster/2022
University of Iowa,D1,IA,https://hawkeyesports.com/sports/baseball/roster/season/2021-22
University of Kansas,D1,KS,https://kuathletics.com/sports/baseball/roster/season/2022
University of Kentucky,D1,KY,https://ukathletics.com/sports/baseball/roster/2022
University of Louisiana at Lafayette,D1,LA,https://ragincajuns.com/sports/baseball/roster/2022
University of Louisiana at Monroe,D1,LA,https://ulmwarhawks.com/sports/baseball/roster/2022
University of Louisville,D1,KY,https://gocards.com/sports/baseball/roster/2022
"University of Maine, Orono",D1,ME,https://goblackbears.com/sports/baseball/roster/2022
"University of Maryland, Baltimore County",D1,MD,https://www.umbcretrievers.com/sports/baseball/roster/2022
"University of Maryland, College Park",D1,MD,https://umterps.com/sports/baseball/roster/2022
"University of Maryland, Eastern Shore",D1,MD,https://easternshorehawks.com/sports/baseball/roster/2022
"University of Massachusetts, Amherst",D1,MA,https://umassathletics.com/sports/baseball/roster/2022
"University of Massachusetts, Lowell",D1,MA,https://goriverhawks.com/sports/baseball/roster/2022
University of Memphis,D1,TN,https://gotigersgo.com/sports/baseball/roster/2022
University of Miami,D1,FL,https://miamihurricanes.com/sports/baseball/roster/season/2021-22
University of Michigan,D1,MI,https://mgoblue.com/sports/baseball/roster/2022
"University of Minnesota, Twin Cities",D1,MN,https://gophersports.com/sports/baseball/roster/2022
University of Mississippi,D1,MS,https://olemisssports.com/sports/baseball/roster/2022
University of Missouri,D1,MO,https://mutigers.com/sports/baseball/roster/2022
