Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Jaycob Lachance,RHP,Frontier,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5.1,0,2,8,7,2,13.5,0,4
Jeff Liddell,RHP,Connors State,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3.0,0,0,3,3,0,9.0,0,3
Jesse Skelton,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Joel McGrath,RHP,Colby,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4.0,0,0,0,0,3,0.0,0,7
Joel Robinson,RHP,Allen County,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,5,3,2,45.0,0,1
Joel Suraganan,IF,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
John Vulcano,IF,Colby,JUCO: Division 1,A,5,17,9,7,2,0,3,10,0,0.412,0.522,1.059,1.581,0,0,0.0,0,0,0,0,0,0.0,0,0
Jonathon Foti,RHP/IF,Lewis & Clark,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jordan Spring,RHP,Bossier Parish,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.2,0,0,3,3,0,40.5,0,1
Josh Cleggett,C,Arizona Western,JUCO: Division 1,A,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Evans,RHP,Mohawk Valley,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Fluet,RHP,Allen County,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2.2,0,0,0,2,2,0.0,0,5
Josh Gerhardt,3B,Trinidad State,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8.1,0,1,1,8,2,1.08,0,9
Josh Ironside,RHP,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Stark,OF,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Josh Wynette,LHP,Dawson,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Jude Hall,OF,Yavapai,JUCO: Division 1,A,11,7,5,1,0,0,0,2,6,0.143,0.222,0.143,0.365,0,0,0.0,0,0,0,0,0,0.0,0,0
Justen Tehse,LHP,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Justin Breen,IF,Bossier Parish,JUCO: Division 1,A,10,30,9,7,2,0,3,10,0,0.233,0.425,0.6,1.025,0,0,0.0,0,0,0,0,0,0.0,0,0
Justin Carinci,C,Mineral Area,JUCO: Division 1,A,7,29,3,6,0,0,0,0,3,0.207,0.258,0.207,0.465,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaden Zarowny,OF,Crowder,JUCO: Division 1,A,3,6,1,0,0,0,0,2,0,0.0,0.143,0.0,0.143,0,0,0.0,0,0,0,0,0,0.0,0,0
Kaedan Thompson,IF,Southwestern,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kelan Polard,C,Wake Tech,JUCO: Division 2,A,5,8,0,1,0,0,0,0,0,0.125,0.222,0.125,0.347,0,0,0.0,0,0,0,0,0,0.0,0,0
Kenneth Muise,LHP,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kenneth Sugi,OF,Kaskaskia,JUCO: Division 1,A,2,8,2,2,0,0,0,2,0,0.25,0.333,0.25,0.583,0,0,0.0,0,0,0,0,0,0.0,0,0
Kenny DiClemente,IF/OF,Crowder,JUCO: Division 1,A,4,9,4,5,1,0,1,3,0,0.556,0.733,1.0,1.733,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Campbell,P,Onondaga,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kevin Spooner,RHP,Three Rivers,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.1,0,0,0,0,0,0.0,0,1
Kobe Fredland,RHP,Williston State,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.1,0,0,0,0,3,0.0,0,1
Kole Jessamine,RHP,Lake Region State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Kole Turner,RHP/INF,Three Rivers,JUCO: Division 1,A,8,24,7,9,5,1,0,7,2,0.375,0.531,0.667,1.198,3,0,2.1,0,0,0,0,4,0.0,1,1
Kyle Froehlich,RHP/IF,Colby,JUCO: Division 1,A,4,8,4,5,2,1,1,6,0,0.625,0.6,1.5,2.1,1,1,4.0,1,0,0,4,1,0.0,0,4
Kyle Whiteclaw,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Allen,IF/RHP,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Bushey,INF,Mineral Area,JUCO: Division 1,A,4,13,1,6,0,0,0,2,0,0.462,0.588,0.462,1.05,0,0,0.0,0,0,0,0,0,0.0,0,0
Liam Vulcano,IF,Colby,JUCO: Division 1,A,2,5,2,1,0,0,0,0,0,0.2,0.5,0.2,0.7,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Grant,IF/C,Bismarck State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan Harvey,C,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Logan MacNiel,RHP,Allen County,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2.1,0,0,4,3,2,15.43,0,7
Logan Warkentin,OF/LHP,Williston State,JUCO: Division 2,A,2,8,2,2,1,0,0,3,0,0.25,0.333,0.375,0.708,0,0,0.0,0,0,0,0,0,0.0,0,0
Lucas Gilbert,RHP,North Iowa Area,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Luis Gallardo,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Mason Nordli,RHP,Lamar,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,10.0,0,3,17,23,8,15.3,0,12
Mateo Zeppieri,OF,McLennan,JUCO: Division 1,A,11,23,8,8,1,1,0,6,1,0.348,0.516,0.478,0.994,0,0,0.0,0,0,0,0,0,0.0,0,0
Matt Brown,RHP,Frontier,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,11.0,2,0,2,5,3,1.64,0,12
Matt Torresan,RHP/OF,Iowa Lakes,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Dobberthien,RHP/OF,Colby,JUCO: Division 1,A,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,7.0,1,0,4,8,1,5.14,1,7
Matthew Jeffery,RHP,Bossier Parish,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthew Rogers,RHP,Southwestern,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matthias Trondson,RHP,Northeastern Oklahoma A&M,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Matys Gagnon,C,Cowley,JUCO: Division 1,A,2,8,1,2,1,0,0,0,0,0.25,0.333,0.375,0.708,0,0,0.0,0,0,0,0,0,0.0,0,0
Maxime Adam,OF,Western Nebraska,JUCO: Division 1,A,4,9,1,2,0,0,1,3,3,0.222,0.533,0.556,1.089,0,0,0.0,0,0,0,0,0,0.0,0,0
Mickenzie Sondergaard,LHP,Three Rivers,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Mike Short,IF,Minnesota State,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Nash Crowell,IF,Bismarck State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Nathan Boutilier,OF,Pratt,JUCO: Division 1,A,1,3,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0,0,0.0,0,0,0,0,0,0.0,0,0
Nathan Galati,RHP,Northeastern,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3.0,0,0,0,2,1,0.0,0,1
Nathan Scragg,MIF,Dawson,JUCO: Division 2,A,1,4,1,1,0,0,1,1,0,0.25,0.4,1.0,1.4,0,0,0.0,0,0,0,0,0,0.0,0,0
Nick Tremblay,OF,Trinidad State,JUCO: Division 1,A,12,28,11,11,1,1,2,9,2,0.393,0.528,0.714,1.242,0,0,0.0,0,0,0,0,0,0.0,0,0
Nick Woodcock,LHP,Yavapai,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1.2,0,0,0,0,2,0.0,0,1
